Company,Symbol,Weight,,,
Apple Inc.,AAPL,6.499338,,,
Microsoft Corporation,MSFT,5.334513,,,
Amazon.com Inc.,AMZN,4.464355,,,
Facebook Inc. Class A,FB,2.229652,,,
Alphabet Inc. Class A,GOOGL,1.801013,,,
Alphabet Inc. Class C,GOOG,1.764622,,,
Berkshire Hathaway Inc. Class B,BRK.B,1.506745,,,
Johnson & Johnson,JNJ,1.290745,,,
JPMorgan Chase & Co.,JPM,1.216251,,,
Visa Inc. Class A,V,1.15416,,,
Procter & Gamble Company,PG,1.125024,,,
UnitedHealth Group Incorporated,UNH,1.090646,,,
NVIDIA Corporation,NVDA,1.08824,,,
Mastercard Incorporated Class A,MA,0.974111,,,
Home Depot Inc.,HD,0.949718,,,
Walt Disney Company,DIS,0.911517,,,
Verizon Communications Inc.,VZ,0.840966,,,
PayPal Holdings Inc,PYPL,0.82861,,,
Comcast Corporation Class A,CMCSA,0.77414,,,
Adobe Inc.,ADBE,0.764665,,,
Pfizer Inc.,PFE,0.733307,,,
Bank of America Corp,BAC,0.725559,,,
Netflix Inc.,NFLX,0.721939,,,
Intel Corporation,INTC,0.712757,,,
AT&T Inc.,T,0.685535,,,
Walmart Inc.,WMT,0.682391,,,
Merck & Co. Inc.,MRK,0.677821,,,
Coca-Cola Company,KO,0.671646,,,
salesforce.com inc.,CRM,0.661918,,,
PepsiCo Inc.,PEP,0.65839,,,
Abbott Laboratories,ABT,0.62669,,,
Thermo Fisher Scientific Inc.,TMO,0.621351,,,
Cisco Systems Inc.,CSCO,0.614682,,,
AbbVie Inc.,ABBV,0.608403,,,
Chevron Corporation,CVX,0.568741,,,
NIKE Inc. Class B,NKE,0.560036,,,
Exxon Mobil Corporation,XOM,0.559646,,,
Qualcomm Inc,QCOM,0.556769,,,
Costco Wholesale Corporation,COST,0.543647,,,
Broadcom Inc.,AVGO,0.527698,,,
Accenture Plc Class A,ACN,0.523414,,,
McDonald's Corporation,MCD,0.518078,,,
Medtronic Plc,MDT,0.497434,,,
Texas Instruments Incorporated,TXN,0.488357,,,
Honeywell International Inc.,HON,0.481004,,,
NextEra Energy Inc.,NEE,0.472908,,,
Danaher Corporation,DHR,0.463953,,,
Bristol-Myers Squibb Company,BMY,0.458364,,,
Union Pacific Corporation,UNP,0.451971,,,
Amgen Inc.,AMGN,0.437478,,,
Linde plc,LIN,0.425773,,,
Boeing Company,BA,0.414285,,,
Philip Morris International Inc.,PM,0.402399,,,
Wells Fargo & Company,WFC,0.395467,,,
United Parcel Service Inc. Class B,UPS,0.390154,,,
Citigroup Inc.,C,0.387693,,,
Starbucks Corporation,SBUX,0.38518,,,
Lowe's Companies Inc.,LOW,0.37801,,,
Oracle Corporation,ORCL,0.37718,,,
Eli Lilly and Company,LLY,0.376595,,,
Raytheon Technologies Corporation,RTX,0.368553,,,
International Business Machines Corporation,IBM,0.362353,,,
Advanced Micro Devices Inc.,AMD,0.356738,,,
BlackRock Inc.,BLK,0.333967,,,
ServiceNow Inc.,NOW,0.330703,,,
American Tower Corporation,AMT,0.330252,,,
Charter Communications Inc. Class A,CHTR,0.330101,,,
3M Company,MMM,0.325664,,,
Intuit Inc.,INTU,0.31313,,,
CVS Health Corporation,CVS,0.312272,,,
Caterpillar Inc.,CAT,0.311133,,,
General Electric Company,GE,0.303804,,,
Morgan Stanley,MS,0.301136,,,
Fidelity National Information Services Inc.,FIS,0.300407,,,
Lockheed Martin Corporation,LMT,0.29316,,,
Intuitive Surgical Inc.,ISRG,0.292124,,,
Target Corporation,TGT,0.288133,,,
Booking Holdings Inc.,BKNG,0.282582,,,
Mondelez International Inc. Class A,MDLZ,0.275328,,,
Anthem Inc.,ANTM,0.267437,,,
Goldman Sachs Group Inc.,GS,0.266696,,,
American Express Company,AXP,0.264319,,,
Deere & Company,DE,0.260528,,,
TJX Companies Inc,TJX,0.26003,,,
S&P Global Inc.,SPGI,0.25908,,,
Applied Materials Inc.,AMAT,0.258844,,,
Cigna Corporation,CI,0.257934,,,
Micron Technology Inc.,MU,0.2556,,,
Stryker Corporation,SYK,0.252553,,,
T-Mobile US Inc.,TMUS,0.251195,,,
Gilead Sciences Inc.,GILD,0.25116,,,
Charles Schwab Corporation,SCHW,0.248752,,,
Altria Group Inc,MO,0.247234,,,
Zoetis Inc. Class A,ZTS,0.24549,,,
Automatic Data Processing Inc.,ADP,0.243531,,,
Colgate-Palmolive Company,CL,0.239609,,,
Prologis Inc.,PLD,0.23542,,,
FedEx Corporation,FDX,0.232243,,,
Crown Castle International Corp,CCI,0.230381,,,
Lam Research Corporation,LRCX,0.230034,,,
Chubb Limited,CB,0.229189,,,
CSX Corporation,CSX,0.22771,,,
Becton Dickinson and Company,BDX,0.227582,,,
Duke Energy Corporation,DUK,0.223471,,,
Dominion Energy Inc,D,0.216726,,,
Southern Company,SO,0.215029,,,
CME Group Inc. Class A,CME,0.213786,,,
Fiserv Inc.,FISV,0.212324,,,
Truist Financial Corporation,TFC,0.210214,,,
U.S. Bancorp,USB,0.202826,,,
Equinix Inc.,EQIX,0.201815,,,
Activision Blizzard Inc.,ATVI,0.20043,,,
Autodesk Inc.,ADSK,0.200172,,,
Norfolk Southern Corporation,NSC,0.199149,,,
Intercontinental Exchange Inc.,ICE,0.198533,,,
PNC Financial Services Group Inc.,PNC,0.197291,,,
Marsh & McLennan Companies Inc.,MMC,0.194299,,,
Vertex Pharmaceuticals Incorporated,VRTX,0.194165,,,
Air Products and Chemicals Inc.,APD,0.193605,,,
Global Payments Inc.,GPN,0.19314,,,
Illinois Tool Works Inc.,ITW,0.192604,,,
Sherwin-Williams Company,SHW,0.190988,,,
General Motors Company,GM,0.182199,,,
Estee Lauder Companies Inc. Class A,EL,0.182115,,,
Ecolab Inc.,ECL,0.179363,,,
Dollar General Corporation,DG,0.175829,,,
Humana Inc.,HUM,0.175431,,,
Regeneron Pharmaceuticals Inc.,REGN,0.171665,,,
Edwards Lifesciences Corporation,EW,0.171338,,,
Progressive Corporation,PGR,0.169658,,,
Analog Devices Inc.,ADI,0.169031,,,
Illumina Inc.,ILMN,0.166232,,,
Aon Plc Class A,AON,0.160273,,,
Boston Scientific Corporation,BSX,0.159475,,,
Newmont Corporation,NEM,0.157242,,,
DuPont de Nemours Inc.,DD,0.15504,,,
Northrop Grumman Corporation,NOC,0.154863,,,
Kimberly-Clark Corporation,KMB,0.154658,,,
Eaton Corp. Plc,ETN,0.153664,,,
Waste Management Inc.,WM,0.15002,,,
Moody's Corporation,MCO,0.148651,,,
Emerson Electric Co.,EMR,0.148415,,,
ConocoPhillips,COP,0.145873,,,
Cognizant Technology Solutions Corporation Class A,CTSH,0.140568,,,
Roper Technologies Inc.,ROP,0.139604,,,
American Electric Power Company Inc.,AEP,0.137469,,,
L3Harris Technologies Inc,LHX,0.137336,,,
Capital One Financial Corporation,COF,0.137203,,,
HCA Healthcare Inc,HCA,0.13269,,,
Ross Stores Inc.,ROST,0.13262,,,
KLA Corporation,KLAC,0.131722,,,
Exelon Corporation,EXC,0.130999,,,
Dow Inc.,DOW,0.130518,,,
IDEXX Laboratories Inc.,IDXX,0.128744,,,
Amphenol Corporation Class A,APH,0.12821,,,
TE Connectivity Ltd.,TEL,0.128165,,,
Biogen Inc.,BIIB,0.127202,,,
Baxter International Inc.,BAX,0.127163,,,
Sempra Energy,SRE,0.125696,,,
Sysco Corporation,SYY,0.125033,,,
Twitter Inc.,TWTR,0.12379,,,
Electronic Arts Inc.,EA,0.122023,,,
Centene Corporation,CNC,0.121666,,,
MetLife Inc.,MET,0.12116,,,
Align Technology Inc.,ALGN,0.120622,,,
Chipotle Mexican Grill Inc.,CMG,0.12048,,,
General Mills Inc.,GIS,0.119968,,,
Digital Realty Trust Inc.,DLR,0.118396,,,
Ford Motor Company,F,0.118059,,,
General Dynamics Corporation,GD,0.117683,,,
Synopsys Inc.,SNPS,0.116733,,,
Freeport-McMoRan Inc.,FCX,0.116262,,,
Xilinx Inc.,XLNX,0.115924,,,
Marriott International Inc. Class A,MAR,0.115836,,,
Xcel Energy Inc.,XEL,0.115834,,,
Agilent Technologies Inc.,A,0.115613,,,
MSCI Inc. Class A,MSCI,0.115443,,,
Constellation Brands Inc. Class A,STZ,0.11524,,,
Microchip Technology Incorporated,MCHP,0.115102,,,
Parker-Hannifin Corporation,PH,0.113437,,,
Public Storage,PSA,0.113159,,,
American International Group Inc.,AIG,0.112919,,,
PPG Industries Inc.,PPG,0.112831,,,
Travelers Companies Inc.,TRV,0.112734,,,
Johnson Controls International plc,JCI,0.112312,,,
T. Rowe Price Group,TROW,0.112072,,,
Trane Technologies plc,TT,0.111775,,,
IHS Markit Ltd.,INFO,0.111255,,,
eBay Inc.,EBAY,0.10966,,,
O'Reilly Automotive Inc.,ORLY,0.10877,,,
DexCom Inc.,DXCM,0.108616,,,
Aptiv PLC,APTV,0.107695,,,
Cadence Design Systems Inc.,CDNS,0.10742,,,
Cummins Inc.,CMI,0.107324,,,
TransDigm Group Incorporated,TDG,0.106805,,,
Allstate Corporation,ALL,0.106738,,,
Bank of New York Mellon Corporation,BK,0.106729,,,
IQVIA Holdings Inc,IQV,0.105541,,,
SBA Communications Corp. Class A,SBAC,0.105473,,,
Monster Beverage Corporation,MNST,0.105142,,,
HP Inc.,HPQ,0.10507,,,
Verisk Analytics Inc,VRSK,0.103916,,,
Yum! Brands Inc.,YUM,0.103746,,,
Cintas Corporation,CTAS,0.102942,,,
Prudential Financial Inc.,PRU,0.102551,,,
Walgreens Boots Alliance Inc,WBA,0.101377,,,
Schlumberger NV,SLB,0.100321,,,
